family,name,cap-diameter,cap-shape,Cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-color,has-ring,ring-type,Spore-print-color,habitat,season,class
3,44,4,1,3,27,1,2,1,1,14,9,2,2,4,1,1,8,1,1,3,e
3,45,26,3,9,28,2,4,2,19,20,2,3,10,3,1,2,6,1,1,2,p
3,46,7,7,4,29,1,4,2,13,16,10,2,2,17,1,2,6,1,1,2,e
3,47,27,1,3,3,1,4,1,20,9,12,2,2,1,1,2,6,1,1,2,e
3,48,2,11,15,30,1,4,1,21,26,4,2,11,21,1,2,6,1,1,6,e
3,49,28,1,3,31,1,4,2,16,20,25,2,4,11,1,2,6,1,1,6,p
3,50,5,1,16,6,1,4,1,1,14,26,2,2,1,1,2,6,1,2,7,e
3,51,29,2,3,3,1,2,1,1,13,27,2,2,19,1,2,6,1,3,2,e
3,52,24,11,9,2,1,4,1,1,12,10,2,4,16,1,2,6,1,12,2,e
3,53,30,11,3,32,1,4,1,16,14,3,2,1,22,1,2,6,1,1,6,p
4,54,10,1,9,6,1,5,2,1,27,28,2,2,1,1,2,6,1,13,3,e
4,55,13,3,17,24,1,2,1,16,5,12,2,8,23,1,2,6,1,8,2,p
4,56,11,1,18,25,1,3,1,22,17,29,2,2,18,1,2,6,1,14,6,p
4,57,31,15,19,33,1,1,1,23,14,12,2,2,24,1,2,6,1,13,2,p
4,58,26,9,20,34,1,5,2,24,12,4,2,2,1,1,2,6,1,15,3,e
4,59,10,3,21,35,1,2,1,25,9,30,2,2,25,1,2,6,1,13,1,e
4,60,14,7,22,36,1,2,1,26,21,28,2,7,26,1,2,6,1,15,2,p
4,61,32,1,5,2,1,5,1,17,5,12,2,7,27,1,2,6,1,1,3,e
5,62,24,9,3,31,1,2,1,1,12,2,2,2,28,1,2,6,1,1,1,e
5,63,18,3,3,31,1,2,1,22,28,31,2,2,1,1,2,6,1,1,2,e
5,64,24,3,6,31,2,6,1,16,13,2,2,2,1,1,2,6,1,1,2,e
5,65,24,9,5,23,1,6,1,16,20,2,2,2,11,1,2,6,1,1,6,p
5,66,33,3,5,2,1,2,2,1,29,26,2,2,1,1,2,6,1,1,2,p
5,67,18,8,3,22,1,2,1,1,9,12,2,2,2,1,2,6,1,1,2,p
5,68,18,1,3,37,1,6,1,1,16,30,2,2,1,1,2,6,1,1,2,p
5,69,2,1,3,18,1,6,1,1,14,3,2,2,1,1,2,6,1,1,2,e
5,70,4,3,8,38,1,6,1,1,13,32,2,2,1,1,2,6,1,1,2,e
5,71,30,1,9,39,1,2,1,1,9,2,2,2,1,1,2,6,1,1,2,e
5,72,34,9,23,40,1,2,2,27,14,33,2,2,1,1,2,6,2,1,1,e
5,73,2,1,6,41,1,6,2,1,12,1,2,2,1,1,2,6,1,1,2,p
5,74,27,3,3,42,1,2,1,28,27,4,2,2,11,1,2,6,1,1,6,p
5,75,35,9,9,43,1,6,1,18,14,33,2,2,29,1,2,6,1,1,1,e
5,76,2,11,3,44,1,6,1,29,30,16,2,2,1,1,2,6,1,1,2,p
5,77,36,10,3,6,2,5,1,30,12,9,2,2,1,1,2,6,1,1,2,e
5,78,8,9,24,6,2,5,2,31,14,26,2,2,1,1,2,6,1,1,1,p
5,79,6,16,11,21,2,5,1,2,14,31,2,2,30,1,2,6,1,1,6,p
5,80,2,10,6,28,2,5,1,32,31,4,2,7,31,1,2,6,1,1,2,p
5,81,37,9,5,45,2,5,1,33,21,9,2,2,31,1,2,6,1,16,2,p
5,82,24,8,11,21,2,5,1,34,12,31,2,2,12,1,2,6,1,1,2,p
5,83,28,10,3,20,2,5,1,35,12,28,2,2,30,1,2,6,1,1,2,p
5,84,14,8,12,30,2,5,1,21,27,28,2,2,4,1,2,6,1,1,2,p
5,85,10,8,11,46,2,5,1,3,9,28,2,2,15,1,2,6,1,1,2,e
5,86,15,10,5,47,2,5,1,3,2,2,2,2,32,1,1,6,1,1,2,p
5,87,4,10,5,48,2,5,1,17,12,1,2,2,1,1,2,6,1,1,2,e
5,88,5,10,3,49,2,5,1,17,16,4,2,2,1,1,1,6,1,1,2,p
6,89,15,3,9,2,1,1,1,12,14,34,2,4,3,1,2,6,3,1,4,e
6,90,6,3,3,2,1,1,1,14,20,34,2,1,4,1,2,6,1,1,2,e
7,91,10,1,24,16,1,4,1,3,19,14,2,2,4,1,2,6,3,8,2,p
7,92,32,7,5,2,1,6,1,3,12,8,2,4,14,1,2,6,1,15,2,p
7,93,14,16,11,6,1,3,2,14,27,20,2,12,1,1,2,6,1,8,2,p
7,94,19,1,25,50,1,2,1,14,28,20,2,2,1,1,2,6,3,8,2,p
7,95,38,3,26,51,1,4,1,36,13,1,2,4,4,1,2,6,1,1,2,p
7,96,24,16,10,6,1,5,1,14,22,31,2,2,1,1,2,6,1,3,2,e
7,97,2,1,12,47,1,4,1,3,9,34,2,2,32,1,2,6,1,1,3,p
8,98,19,17,6,9,1,2,1,29,13,14,2,2,11,1,2,6,1,8,2,p
8,99,19,4,2,52,1,2,1,18,12,14,2,2,4,1,2,6,1,15,8,p
8,100,13,3,3,16,1,6,1,31,32,31,2,2,16,1,1,6,1,3,8,e
9,101,30,3,3,9,1,2,1,29,29,35,2,1,5,1,1,6,1,1,2,p
9,102,18,3,6,30,1,2,1,18,9,28,2,1,21,1,1,11,1,1,3,p
9,103,28,3,4,2,1,6,1,31,20,28,2,13,4,1,1,9,1,1,4,e
9,104,18,15,9,31,1,2,1,37,15,12,2,2,11,1,1,11,4,1,4,p
9,105,7,3,8,41,1,2,1,38,2,34,2,2,33,1,1,11,1,1,6,p
9,106,18,15,27,53,1,4,1,39,12,12,2,1,34,1,1,8,5,15,2,p
9,107,19,18,5,2,1,2,1,40,14,20,2,7,11,1,1,8,1,17,8,p
9,108,22,4,5,23,1,2,1,41,27,20,2,2,4,1,1,6,1,13,2,p
10,109,15,3,28,2,1,2,1,18,29,2,1,2,4,3,2,6,1,10,6,p
10,110,5,3,3,54,2,6,1,42,25,5,1,2,35,4,2,6,1,1,6,p
10,111,10,3,25,41,1,2,1,43,9,21,2,2,36,1,2,6,6,1,6,p
10,112,28,12,29,5,2,6,1,44,11,4,2,2,1,1,2,6,1,3,8,p
10,113,27,12,25,31,1,2,1,45,30,12,2,2,1,1,2,6,1,1,2,p
10,114,11,17,3,55,1,2,1,31,27,6,2,4,37,1,2,6,1,18,2,p
10,115,24,3,23,2,1,4,1,40,10,12,2,1,4,1,2,6,1,1,3,p
10,116,10,3,5,2,1,4,1,10,10,36,2,2,1,5,1,11,1,1,2,p
10,117,7,19,30,2,1,3,1,29,10,30,2,4,5,1,1,6,1,1,2,p
10,118,33,3,31,56,1,2,1,22,33,33,3,2,18,1,1,9,6,1,1,p
10,119,21,4,4,2,1,2,1,18,9,17,2,7,4,1,2,6,1,4,8,p
11,120,26,20,18,6,1,1,1,46,16,4,2,2,1,1,1,8,1,13,2,e
11,121,26,21,32,2,1,1,1,47,9,4,2,2,1,1,1,12,1,19,2,e
11,122,39,20,9,7,2,1,1,40,34,1,1,2,1,1,1,12,1,17,2,e
11,123,2,3,3,6,2,2,1,48,2,27,1,2,1,1,1,10,1,3,2,p
11,124,40,2,32,2,2,1,1,3,35,1,2,1,1,1,1,13,1,6,6,e
12,125,4,6,33,6,1,1,1,49,36,4,2,2,1,1,1,8,1,20,4,e
12,126,7,22,18,3,1,2,1,50,34,4,2,2,1,1,1,11,1,3,4,p
12,127,29,22,3,7,1,2,1,51,37,1,2,2,1,1,2,6,1,1,6,p
12,128,10,4,3,2,1,2,1,52,12,37,1,2,1,1,2,6,1,1,2,p
12,129,14,4,3,2,1,2,1,53,30,14,2,2,1,1,2,6,1,1,4,e
12,130,22,22,2,13,1,2,1,11,17,17,2,2,1,1,2,6,1,1,4,e
12,131,21,1,12,19,1,2,2,41,21,20,2,2,1,1,2,6,1,3,4,e
12,132,13,1,3,57,1,6,1,54,30,15,2,2,1,1,2,6,1,1,2,e
12,133,10,1,4,2,1,2,1,53,12,30,2,2,1,1,2,6,1,1,2,e
12,134,21,3,3,2,1,2,1,53,21,20,2,2,4,1,2,6,1,8,2,p
12,135,14,4,3,58,1,2,1,53,25,20,2,2,15,1,2,6,1,8,2,p
12,136,18,4,34,2,1,2,1,53,34,28,2,2,1,1,1,6,1,8,1,p
12,137,2,3,25,23,1,2,1,53,2,11,2,4,4,6,1,11,1,3,2,p
13,138,41,23,35,2,1,7,1,7,38,38,2,2,4,1,2,6,1,1,2,e
13,139,35,3,6,2,2,7,1,16,15,39,2,2,4,1,2,6,1,1,2,e
13,140,2,3,11,59,2,7,1,55,12,4,2,2,38,1,2,6,1,1,2,e
13,141,26,3,11,23,2,7,1,16,14,2,2,2,11,1,2,6,1,1,2,e
13,142,12,3,36,2,2,7,1,56,25,26,4,2,11,1,2,6,1,1,2,p
13,143,42,3,8,23,2,7,1,25,15,40,2,2,39,1,2,6,1,1,2,p
13,144,10,3,30,2,1,7,1,57,9,34,2,2,9,1,2,6,1,1,6,e
13,145,43,23,3,2,1,7,1,12,39,26,4,2,4,1,2,6,7,1,2,p
13,146,13,3,23,30,1,7,1,18,20,16,2,2,30,1,2,6,1,1,2,e
13,147,44,2,11,60,1,7,1,31,40,41,1,1,1,1,2,6,1,1,2,e
13,148,2,3,3,3,2,7,1,11,41,9,2,1,1,1,2,6,1,1,2,e
13,149,30,3,34,31,1,7,1,16,13,42,2,2,11,7,1,6,1,1,2,e
13,150,15,3,37,2,2,7,1,29,13,1,2,2,4,1,1,2,1,1,2,e
13,151,30,3,6,2,1,7,2,16,14,4,2,2,4,1,2,6,1,4,2,e
14,152,35,9,5,61,2,5,1,18,12,2,2,2,4,1,2,6,1,21,2,p
14,153,34,8,38,2,1,5,1,16,12,43,2,3,40,1,2,6,1,1,2,p
14,154,28,10,11,24,1,5,1,22,27,30,2,2,18,1,2,6,1,21,2,p
15,155,45,9,12,31,1,8,3,58,42,44,2,2,11,1,2,6,1,1,2,e
15,156,10,10,3,23,1,8,3,58,30,12,2,2,18,1,2,6,1,1,6,e
15,157,46,24,10,2,1,8,3,58,14,45,2,2,4,1,2,6,8,6,1,e
16,158,47,11,3,62,1,5,1,7,43,2,2,2,1,1,2,6,1,1,3,e
16,159,5,24,3,2,1,2,1,1,44,33,2,2,4,1,2,6,1,1,2,e
3,160,48,25,39,63,1,2,1,22,45,2,2,2,5,1,2,6,1,1,3,p
17,161,25,25,23,16,1,2,1,1,46,46,5,14,41,1,2,6,6,1,2,p
18,162,49,11,8,64,1,2,1,59,21,5,2,2,1,1,1,6,1,1,6,e
19,163,21,26,24,2,1,2,1,18,28,17,2,2,4,1,2,6,1,1,4,p
20,164,18,25,9,65,1,8,3,58,46,46,5,14,41,1,1,6,1,1,4,p
20,165,14,25,10,66,1,8,3,58,46,46,5,14,41,1,2,6,1,1,4,p
20,166,50,25,3,31,1,7,1,16,11,47,2,3,40,1,2,6,1,1,7,e
20,167,41,21,40,67,1,7,1,16,20,48,2,2,4,1,2,6,1,1,3,p
20,168,27,8,24,23,1,7,1,18,27,21,2,3,4,1,1,6,1,1,9,p
21,169,18,25,3,6,1,8,3,58,10,26,2,8,1,1,1,6,1,18,2,p
20,170,14,25,3,29,1,8,3,58,27,2,2,8,15,1,2,6,1,1,2,p
20,171,4,25,3,21,1,8,3,58,27,9,2,8,4,1,2,6,1,1,7,p
22,172,28,27,3,19,1,8,3,58,20,5,2,2,4,1,2,6,1,6,10,e
23,173,51,9,9,31,1,8,3,58,27,29,2,2,11,1,2,6,1,1,2,p
